,sentiment,metacritic_prediction,metacritic_id
288,positive,1.0,14452
289,positive,0.3,22138
290,negative,0.0,32036
291,negative,0.0,31315
292,negative,0.0,33283
293,positive,1.0,16794
294,positive,1.0,11699
295,negative,0.2,16433
296,negative,0.2,4156
297,positive,1.0,38147
298,positive,1.0,26069
299,positive,0.2,29696
300,positive,0.8,25356
301,positive,0.8,1513
302,positive,0.9,305
303,positive,0.2,30446
304,negative,0.2,21814
305,negative,0.3,24217
306,positive,0.8,29146
307,positive,0.8,7508
308,positive,0.3,23396
309,negative,0.9,15123
310,negative,0.2,22494
311,positive,0.9,522
312,negative,0.2,30446
313,negative,0.2,14417
314,negative,0.25,11365
315,positive,0.9,29488
316,positive,0.0,4302
317,positive,1.0,13698
318,positive,1.0,12873
319,positive,0.2,29900
320,negative,1.0,5917
321,negative,0.0,22340
322,positive,0.9,29035
323,negative,0.2,11604
324,positive,1.0,23844
325,positive,1.0,32182
326,positive,0.8,15135
327,positive,0.9,28644
328,positive,1.0,32634
329,positive,0.9,7352
330,positive,1.0,13382
331,negative,0.1,13270
332,positive,0.9,13024
333,negative,0.2,36759
334,negative,0.9,32003
335,positive,0.8,26016
336,positive,0.0,32036
337,positive,1.0,23844
338,positive,1.0,22734
339,negative,0.3,34040
340,positive,1.0,5943
341,negative,0.9,34266
342,positive,0.9,522
343,negative,0.12,11069
344,positive,1.0,27896
345,negative,0.1,12818
346,positive,0.2,33240
347,negative,0.1,23801
348,negative,0.8,31458
349,positive,0.75,22918
350,negative,0.2,30446
351,positive,0.1,12086
352,positive,1.0,17991
353,negative,0.0,32036
354,negative,0.2,28906
355,positive,1.0,22991
356,negative,0.0,32036
357,positive,0.8,17440
358,negative,1.0,22734
359,positive,0.9,16183
360,positive,0.0,30496
361,positive,0.25,22564
362,positive,0.9,20752
363,positive,0.9,7473
364,positive,1.0,3072
365,negative,0.8,20914
366,positive,0.8,23271
367,positive,0.9,24451
368,positive,0.9,32461
369,negative,0.9,16917
370,positive,0.8,9378
371,negative,0.0,13155
372,positive,0.8,8811
373,negative,1.0,7709
374,positive,0.3,27913
375,positive,0.8,9378
376,negative,0.2,32276
377,negative,0.8,38295
378,negative,0.2,22820
379,negative,1.0,27686
380,positive,0.8,11524
381,positive,0.3,7846
382,negative,0.2,4006
383,negative,0.8,22040
384,positive,1.0,38903
385,positive,1.0,16358
386,positive,1.0,30602
387,positive,0.1,37657
388,positive,0.3,14593
389,positive,0.8,9903
390,positive,0.9,35464
391,positive,0.8,22682
392,negative,0.8,7294
393,positive,1.0,4969
394,negative,0.3,7216
395,positive,0.3,12526
396,negative,1.0,17360
397,negative,0.2,9730
398,negative,1.0,29773
399,negative,0.9,38146
400,positive,0.9,25180
401,negative,0.3,38635
402,positive,0.8,19332
403,positive,1.0,32443
404,positive,0.9,591
405,positive,1.0,38886
406,positive,0.0,9665
407,negative,0.1,15526
408,positive,0.9,15147
409,positive,0.8,3442
410,positive,1.0,6530
411,positive,0.9,1648
412,negative,1.0,31009
413,negative,0.3,33116
414,negative,0.0,33479
415,negative,0.2,1045
416,positive,0.1,14968
417,positive,0.8,35161
418,positive,0.2,22283
419,positive,0.3,14931
420,positive,0.0,25255
421,negative,0.2,16433
422,negative,0.8,35553
423,positive,0.8,25175
424,positive,0.2,27770
425,positive,1.0,29462
426,positive,0.9,305
427,positive,0.9,28684
428,negative,0.3,28618
429,positive,1.0,4201
430,positive,0.9,26792
431,positive,0.3,33116
432,negative,0.8,19881
433,positive,0.9,21099
434,negative,0.1,22809
435,positive,0.9,1418
436,positive,0.9,21360
437,positive,0.3,14593
438,negative,0.9,31212
439,positive,0.3,38635
440,positive,1.0,18578
441,positive,0.3,18382
442,positive,0.3,25271
443,negative,0.2,23680
444,positive,0.3,16033
445,positive,0.9,31529
446,negative,0.1,21686
447,positive,1.0,32182
448,negative,0.0,22574
449,positive,0.3,24165
450,positive,0.0,20865
451,negative,0.0,7929
452,negative,0.1,12086
453,negative,0.3,24500
454,positive,0.8,36739
455,negative,1.0,12294
456,positive,0.1,25021
457,positive,0.8,23271
458,positive,0.91,26675
459,positive,0.8,31934
460,positive,1.0,37246
461,positive,1.0,822
462,negative,0.75,37642
463,negative,0.3,27722
464,positive,1.0,4392
465,negative,1.0,9766
466,positive,0.8,4340
467,positive,0.8,38870
468,negative,0.2,16433
469,negative,0.0,26832
470,negative,0.1,12086
471,positive,0.8,12626
472,positive,0.8,26357
473,positive,1.0,14474
474,positive,0.2,30446
475,negative,0.2,39006
476,positive,0.8,6036
477,negative,0.8,5773
478,negative,0.2,14653
479,negative,0.9,10923
480,negative,0.2,30446
481,positive,0.8,35592
482,negative,0.1,17775
483,positive,0.9,19323
484,negative,0.0,36404
485,negative,1.0,8856
486,positive,0.9,10324
487,positive,0.1,13270
488,negative,0.3,37221
489,negative,1.0,17329
490,negative,0.2,2642
491,positive,0.2,7859
492,negative,0.3,15108
493,positive,0.8,25680
494,negative,0.3,8355
495,positive,1.0,34579
496,positive,1.0,19119
497,positive,1.0,3072
498,negative,0.3,16437
499,negative,0.1,19816
500,negative,0.0,7929
501,negative,0.2,24740
502,negative,0.8,2109
503,positive,0.9,1912
504,positive,0.1,4098
505,positive,1.0,12329
506,negative,0.9,11550
507,positive,1.0,28683
508,negative,0.9,17850
509,positive,1.0,32558
510,positive,1.0,24840
511,positive,0.2,16433
512,positive,0.3,24217
513,positive,0.8,17358
514,negative,1.0,29462
515,negative,0.38,23033
516,positive,0.9,21779
517,positive,0.9,16450
518,positive,0.9,38090
519,positive,0.8,23281
520,positive,0.2,26575
521,positive,0.9,23239
522,negative,0.38,5449
523,positive,0.9,25180
524,positive,0.2,13564
525,positive,0.9,36832
526,positive,0.9,305
527,positive,1.0,17132
528,positive,0.1,13270
529,positive,0.8,12071
530,positive,0.9,37321
531,positive,0.9,14906
532,negative,1.0,26764
533,negative,0.2,2642
534,positive,0.9,5904
535,positive,0.0,219
536,negative,0.3,2317
537,positive,0.8,4742
538,positive,0.8,24069
539,negative,0.2,16433
540,positive,0.8,31458
541,positive,0.8,22735
542,negative,0.1,8863
543,negative,0.2,16393
544,positive,1.0,20723
545,positive,0.8,18249
546,positive,0.8,8018
547,positive,0.3,13546
548,positive,0.8,20927
549,negative,0.3,22111
550,negative,0.1,3576
551,positive,0.2,16433
552,positive,0.9,1243
553,positive,0.8,21950
554,negative,0.3,2093
555,negative,0.3,38834
556,positive,0.8,12278
557,negative,0.0,2557
558,negative,0.2,30446
559,positive,0.0,6668
560,negative,0.8,18701
561,positive,0.1,27065
562,negative,1.0,1636
563,positive,1.0,16358
564,negative,0.3,13546
565,positive,0.1,14063
566,negative,0.9,28946
567,positive,0.9,24063
568,negative,0.2,16413
569,positive,0.8,33787
570,negative,0.8,22090
571,negative,0.8,23281
572,negative,0.2,16393
573,negative,0.0,25363
574,positive,0.8,2711
575,negative,0.0,17253
576,negative,0.9,25927
577,negative,0.3,13740
578,positive,0.8,34858
579,negative,0.2,30446
580,positive,0.8,4340
581,positive,1.0,3451
582,negative,1.0,23539
583,positive,0.8,30886
584,positive,0.8,34005
585,positive,0.9,14306
586,negative,0.0,23484
587,positive,1.0,7002
588,negative,0.2,20462
589,negative,1.0,20041
590,negative,0.1,34362
591,positive,0.8,12953
592,positive,1.0,10733
593,positive,0.9,35432
594,positive,0.2,1858
595,positive,0.8,32684
596,positive,0.8,18701
597,negative,0.2,12450
598,positive,0.8,1781
599,negative,0.75,35590
600,negative,0.1,25021
601,positive,0.8,21321
602,positive,0.8,9409
603,positive,1.0,18352
604,negative,0.0,1318
605,positive,1.0,22304
606,positive,1.0,3693
607,positive,0.3,24631
608,negative,0.2,9432
609,positive,0.9,12764
610,positive,1.0,4712
611,positive,0.1,29113
612,positive,1.0,26173
613,positive,1.0,8382
614,negative,0.0,6520
615,negative,0.1,10709
616,negative,0.8,9445
617,negative,0.2,30446
618,positive,0.8,3883
619,negative,0.2,16433
620,positive,1.0,22324
621,positive,0.75,23012
622,positive,0.9,23120
623,positive,0.2,15636
624,positive,0.8,33542
625,negative,0.2,25854
626,negative,0.8,38870
627,positive,1.0,24858
628,negative,0.2,16433
629,positive,0.9,305
630,negative,0.2,30446
631,positive,0.8,16661
632,positive,0.8,33542
633,negative,0.0,11193
634,negative,0.3,38065
635,positive,0.8,15176
636,negative,0.0,17427
637,negative,0.0,13155
638,positive,0.9,32461
639,positive,0.3,24753
640,positive,1.0,12470
641,positive,0.9,35714
642,negative,0.9,3292
643,positive,0.1,12086
644,positive,0.8,7882
645,negative,0.8,35161
646,positive,1.0,24134
647,negative,0.25,9535
648,positive,0.9,16560
649,positive,1.0,37153
650,positive,0.8,19579
651,positive,0.9,31212
652,negative,0.8,38870
653,positive,1.0,6672
654,positive,0.8,19023
655,positive,0.9,35152
656,positive,0.8,10389
657,positive,0.8,4962
658,negative,0.2,16433
659,negative,0.2,37777
660,negative,0.8,10874
661,negative,0.8,4248
662,positive,0.9,8033
663,negative,0.1,34112
664,positive,1.0,2446
665,positive,1.0,31413
666,positive,0.8,11279
667,negative,0.8,12016
668,positive,0.9,13024
669,positive,0.8,12626
670,positive,0.75,22918
671,positive,1.0,23218
672,positive,1.0,22549
673,negative,1.0,17991
674,negative,0.9,17874
675,positive,1.0,4392
676,positive,0.9,522
677,positive,1.0,30835
678,positive,0.0,219
679,negative,0.9,31073
680,positive,1.0,33553
681,positive,0.9,35229
682,positive,0.3,18957
683,negative,0.3,31902
684,negative,0.2,24749
685,positive,0.9,37321
686,negative,0.9,26227
687,negative,0.1,28207
688,positive,0.9,18407
689,negative,1.0,6672
690,negative,0.9,16050
691,positive,0.8,26103
692,positive,1.0,16163
693,positive,0.8,9544
694,positive,0.9,15731
695,negative,0.8,19193
696,positive,0.9,19021
697,positive,1.0,33400
698,negative,0.3,1298
699,negative,0.0,23356
700,positive,0.8,18939
701,positive,0.3,33116
702,positive,1.0,10773
703,positive,1.0,16928
704,positive,1.0,14452
705,negative,0.8,4899
706,negative,0.9,14407
707,negative,0.1,394
708,positive,0.9,25162
709,positive,0.8,3086
710,positive,1.0,13716
711,negative,0.75,35590
712,positive,0.9,15192
713,positive,0.3,35071
714,negative,0.0,36726
715,positive,0.2,9432
716,positive,0.8,23023
717,positive,1.0,16928
718,positive,1.0,16928
719,negative,0.1,24179
720,negative,0.3,13546
721,positive,0.0,20988
722,negative,0.3,8355
723,positive,0.9,35229
724,positive,1.0,24132
725,negative,0.2,22641
726,positive,0.2,36759
727,positive,0.9,7718
728,negative,0.0,5189
729,negative,0.2,19531
730,negative,0.8,7508
731,negative,0.0,30628
732,negative,0.8,26067
733,positive,0.9,1638
734,negative,0.9,31585
735,positive,1.0,16167
736,positive,0.9,19911
737,negative,0.1,38296
738,positive,0.3,17518
739,negative,0.0,10133
740,negative,0.1,6490
741,negative,0.1,18964
742,negative,0.0,7843
743,negative,0.1,12086
744,positive,0.2,36759
745,negative,0.1,1681
746,negative,0.1,14063
747,positive,0.9,25625
748,positive,0.0,33277
749,negative,1.0,2877
750,negative,0.0,35655
751,positive,0.25,11365
752,positive,0.8,2508
753,positive,0.1,13270
754,negative,0.9,19348
755,negative,1.0,5197
756,negative,0.8,4899
757,negative,0.75,27251
758,negative,0.1,36354
759,negative,0.8,7163
760,negative,0.8,29198
761,positive,1.0,29237
762,negative,0.8,29438
763,positive,0.0,6520
764,negative,0.1,17419
765,positive,1.0,9029
766,negative,0.2,14653
767,positive,0.3,14593
768,positive,0.8,12626
769,positive,0.3,35702
770,positive,0.3,30662
771,negative,0.0,38326
772,positive,1.0,30835
773,negative,0.2,6702
774,positive,1.0,20041
775,negative,0.1,10652
776,negative,1.0,9627
777,positive,1.0,32884
778,negative,0.8,2734
779,positive,0.9,28158
780,negative,0.2,16433
781,positive,0.0,30088
782,positive,0.1,16339
783,positive,0.3,2554
784,negative,0.3,37285
785,positive,0.9,18946
786,positive,1.0,19144
787,positive,0.9,17215
788,negative,1.0,12294
789,negative,0.3,35801
790,positive,1.0,20247
791,positive,0.8,3086
792,positive,0.8,9378
793,negative,0.2,31717
794,positive,0.9,17407
795,negative,0.9,9371
796,positive,0.9,4071
797,negative,0.1,24856
798,positive,1.0,37246
799,positive,0.1,34484
800,positive,1.0,1882
801,negative,0.2,118
802,negative,0.3,32939
803,negative,0.2,16433
804,positive,0.9,9267
805,positive,0.2,16393
806,negative,0.1,10652
807,positive,0.1,36270
808,negative,1.0,14452
809,positive,0.8,24620
810,positive,0.2,30446
811,positive,0.9,21779
812,negative,0.8,35161
813,positive,1.0,4078
814,negative,0.0,16459
815,negative,0.8,20368
816,negative,0.8,9378
817,negative,0.2,4387
818,positive,0.8,10386
819,positive,0.2,21586
820,positive,0.9,5420
821,positive,1.0,29067
822,negative,0.2,16433
823,positive,0.8,26103
824,negative,1.0,23844
825,positive,0.2,22494
826,positive,1.0,23218
827,positive,0.8,33542
828,negative,1.0,21951
829,positive,0.9,36972
830,positive,1.0,31009
831,negative,0.8,28109
832,negative,0.1,4328
833,positive,1.0,25424
834,negative,0.2,16433
835,positive,0.1,1256
836,positive,0.3,33116
837,negative,0.9,27990
838,positive,0.8,17397
839,negative,0.9,32483
840,positive,0.8,7445
841,negative,0.3,10711
842,negative,1.0,22304
843,positive,1.0,14464
844,negative,0.1,3055
845,positive,0.8,2672
846,positive,0.8,33105
847,positive,1.0,8024
848,negative,0.2,22641
849,positive,0.8,7435
850,positive,0.3,8704
851,negative,0.3,13546
852,negative,0.1,14968
853,positive,1.0,14452
854,positive,0.9,9197
855,negative,1.0,27127
856,negative,0.2,24749
857,positive,1.0,19422
858,positive,0.8,24487
859,positive,0.8,33542
860,positive,0.3,38834
861,positive,1.0,5197
862,negative,0.3,38834
863,positive,0.9,21446
864,negative,1.0,9194
865,negative,0.2,37777
866,positive,1.0,18107
867,negative,1.0,27295
868,positive,0.9,6680
869,positive,0.38,18065
870,positive,0.1,10652
871,positive,0.9,35229
872,positive,0.89,6191
873,positive,0.75,22918
874,positive,0.9,5999
875,positive,1.0,23956
876,negative,1.0,23218
877,positive,0.8,24674
878,positive,0.3,8355
879,negative,0.0,32036
880,positive,0.3,12544
881,positive,1.0,38286
882,positive,0.1,3344
883,negative,0.1,13270
884,positive,0.3,1110
885,negative,0.0,29904
886,negative,0.9,9980
887,positive,0.3,2686
888,positive,0.1,25021
889,positive,0.0,20113
890,positive,0.8,10350
891,positive,0.8,36076
892,negative,0.0,32036
893,positive,0.8,35161
894,positive,0.0,22574
895,negative,1.0,29223
896,positive,0.8,8676
897,positive,1.0,38068
898,negative,0.2,33813
899,negative,0.3,13740
900,negative,0.1,34216
901,negative,1.0,37246
902,positive,0.1,35695
903,positive,0.1,13270
904,positive,1.0,30258
905,positive,0.9,21818
906,negative,0.0,22574
907,negative,0.8,23281
908,positive,0.8,18580
909,negative,0.3,11886
910,positive,1.0,20678
911,positive,0.0,32036
912,negative,0.8,62
913,positive,0.0,6520
914,negative,0.0,14059
915,positive,0.9,14867
916,negative,0.9,31585
917,positive,0.8,4899
918,positive,0.8,23281
919,positive,0.2,28906
920,positive,1.0,20607
921,negative,0.2,16521
922,positive,0.2,30446
923,positive,1.0,32182
924,negative,0.2,16433
925,negative,0.1,34016
926,positive,1.0,26886
927,negative,0.3,14593
928,positive,0.9,37321
929,positive,0.3,14133
930,positive,1.0,10773
931,negative,1.0,9585
932,negative,0.3,19343
933,negative,0.1,35839
934,positive,1.0,18597
935,negative,0.9,29866
936,positive,0.8,21389
937,positive,0.1,12086
938,positive,1.0,25983
939,negative,0.1,27065
940,positive,0.9,23554
941,positive,0.8,14053
942,negative,0.9,37321
943,positive,0.1,9377
944,positive,1.0,3151
945,positive,0.0,4157
946,negative,0.1,13270
947,negative,0.0,28992
948,negative,0.0,19733
949,positive,0.2,30446
950,positive,0.9,4417
951,positive,0.8,7234
952,positive,1.0,9194
953,negative,0.9,17874
954,negative,0.2,30375
955,negative,0.9,888
956,positive,0.3,1298
957,negative,1.0,26953
958,positive,1.0,27327
959,negative,0.37,7168
960,positive,0.9,19323
961,positive,0.9,35152
962,positive,0.8,24863
963,positive,0.8,25211
964,negative,0.8,18939
965,positive,1.0,24155
966,negative,0.9,16917
967,positive,0.9,35714
968,positive,0.9,25580
969,positive,0.8,15283
970,positive,0.8,26451
971,negative,0.1,26704
972,positive,0.9,34584
973,negative,1.0,17314
974,negative,0.1,31503
975,negative,0.3,11622
976,negative,1.0,24919
977,positive,0.8,15965
978,negative,0.1,12086
979,positive,0.2,16433
980,negative,0.9,8294
981,positive,0.9,24324
982,positive,0.2,30446
983,positive,0.8,19332
984,negative,0.8,29198
985,positive,1.0,19144
986,positive,1.0,22304
987,positive,1.0,2022
988,negative,0.1,22809
989,negative,0.2,37156
990,positive,0.0,2016
991,positive,1.0,18352
992,negative,0.1,38634
993,negative,1.0,16928
994,negative,0.1,17419
995,negative,0.2,6810
996,positive,1.0,37370
997,negative,1.0,34236
998,positive,1.0,16309
999,positive,0.8,21685
1000,negative,0.2,23680
1001,positive,0.8,3102
1002,negative,0.8,13680
1003,positive,1.0,32264
1004,positive,0.1,25021
1005,positive,1.0,25618
1006,positive,0.0,30024
1007,positive,0.2,37120
1008,positive,1.0,29237
1009,positive,0.3,18382
1010,positive,0.8,26067
1011,negative,0.8,32966
1012,positive,0.9,18044
1013,negative,0.1,19816
1014,negative,0.3,33572
1015,negative,0.2,23680
1016,negative,0.2,30446
1017,negative,0.8,15176
1018,positive,1.0,32182
1019,positive,1.0,25983
1020,positive,0.8,1385
1021,negative,0.1,17419
1022,positive,0.8,7877
1023,negative,1.0,20041
1024,positive,0.3,13575
1025,positive,0.8,20913
1026,negative,0.2,8897
1027,positive,1.0,3053
1028,negative,0.9,17678
1029,negative,0.3,3608
1030,positive,0.2,16433
1031,positive,0.9,16447
1032,negative,0.1,16339
1033,positive,1.0,18213
1034,positive,1.0,38667
1035,positive,1.0,20962
1036,negative,0.0,32036
1037,negative,0.1,20766
1038,positive,1.0,17115
1039,negative,0.3,23269
1040,positive,0.9,8020
1041,positive,0.3,26874
1042,negative,0.8,23281
1043,positive,0.9,36225
1044,positive,1.0,16358
1045,positive,0.8,24570
1046,positive,1.0,10773
1047,negative,0.2,15438
1048,positive,0.8,3178
1049,negative,0.9,36877
1050,positive,0.3,6582
1051,negative,0.1,19800
1052,positive,0.2,3760
1053,negative,0.8,19332
1054,positive,0.2,968
1055,positive,0.8,9378
1056,positive,0.9,6498
1057,negative,0.3,3608
1058,negative,1.0,28252
1059,negative,0.8,7047
1060,positive,0.9,15503
1061,positive,0.9,29526
1062,positive,0.91,32683
1063,positive,0.8,25401
1064,positive,0.8,3160
1065,negative,0.8,26103
1066,negative,0.0,19506
1067,negative,0.3,11815
1068,negative,1.0,14432
1069,positive,0.9,9067
1070,negative,0.2,22494
1071,negative,0.8,31325
1072,negative,0.0,12607
1073,positive,0.9,5415
1074,positive,1.0,30045
1075,positive,0.91,35734
1076,negative,0.1,21735
1077,positive,1.0,29067
1078,negative,1.0,18213
1079,negative,0.3,1063
1080,positive,0.8,21950
1081,positive,0.8,4168
1082,negative,0.9,25962
1083,negative,0.3,35702
1084,negative,0.0,12090
1085,positive,0.9,32483
1086,positive,0.9,35229
1087,negative,0.2,7403
1088,negative,0.1,21828
1089,positive,0.8,18701
1090,negative,0.1,12086
1091,negative,0.3,20796
1092,negative,1.0,1240
1093,negative,0.8,16149
1094,positive,0.9,28142
1095,negative,0.2,22272
1096,negative,0.1,16339
1097,negative,0.0,12486
1098,positive,0.2,10509
1099,positive,0.1,14063
1100,negative,1.0,6128
1101,positive,0.2,16433
1102,negative,1.0,2273
1103,negative,0.2,12920
1104,positive,0.3,38834
1105,positive,1.0,18890
1106,negative,0.0,4123
1107,positive,0.8,12501
1108,negative,0.2,23680
1109,positive,0.8,3086
1110,negative,0.3,26899
1111,positive,1.0,15056
1112,positive,0.8,18393
1113,positive,0.9,7227
1114,negative,0.3,2554
1115,positive,0.8,21082
1116,positive,0.1,16339
1117,positive,0.1,4058
1118,positive,0.8,28488
1119,positive,0.8,17904
1120,positive,0.0,6668
1121,positive,0.9,28312
1122,positive,1.0,5195
1123,positive,0.9,19954
1124,positive,1.0,11101
1125,positive,0.9,12487
1126,positive,0.75,22918
1127,negative,0.9,29488
1128,negative,0.3,29919
1129,positive,1.0,16062
1130,positive,1.0,36647
1131,positive,1.0,22624
1132,negative,0.9,9067
1133,negative,0.2,12874
1134,negative,0.8,20590
1135,positive,0.3,34745
1136,negative,1.0,9250
1137,positive,1.0,25228
1138,positive,1.0,38235
1139,negative,0.8,23111
1140,positive,0.8,9037
1141,positive,1.0,7110
1142,positive,0.1,25021
1143,negative,0.2,37318
1144,negative,0.8,11390
1145,positive,0.1,9741
1146,negative,0.2,16433
1147,positive,0.9,4220
1148,negative,0.2,29696
1149,negative,0.0,12093
1150,negative,0.8,1513
1151,positive,0.9,8294
